Molecule name,SMILES,MBPB
E-0012191,Cc1ccc2[nH]nc(C(=O)N3CCC(Nc4ccc(Cl)cc4)CC3)c2c1,0.17
E-0012198,Cn1cc(C(=O)N2CCN(c3ccc(CN4CC5(CCCO5)C4)cc3)CC2)c2cccnc21,80.0
E-0012236,COc1cccc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c12,2.8
E-0012252,NC(=O)Cc1cccc(Nc2nccc(-c3cccnc3)n2)c1,12.6
E-0012334,O=C(c1cccc2[nH]cnc12)N1CCC(Oc2ccc(Cl)cc2)CC1,0.74
E-0012664,COc1ccc(-c2cc(C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)[nH]n2)c(OC)c1,0.04
E-0012756,O=c1c2[nH]c3cc(Cl)ccc3c2ccn1CCCN1CCCCC1,0.4
E-0012766,N#Cc1cccc(-c2ccnc(Nc3cccc(CC(N)=O)c3)n2)c1,2.8
E-0012767,NC(=O)Cc1ccc(Nc2nccc(-c3cccc(N4CCOCC4)c3)n2)cc1,1.9
E-0012772,O=C(c1n[nH]cc1-c1ccccc1)N1CCC(Oc2ccc(Cl)cc2)CC1,0.2
E-0012784,COc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,3.1
E-0012817,O=C(c1n[nH]c2ccccc12)N1C2CCC1CC(Oc1ccc(Cl)cc1)C2,0.1
E-0012888,Fc1cccc(-c2cccc(Nc3cccc(N4CCNCC4)c3)n2)c1,0.01
E-0012893,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2ccc(Cl)cc2)CC1,0.9
E-0012904,Fc1cccc(-c2cccc(Nc3ccc(CN4CCOCC4)cn3)n2)c1,0.3
E-0012907,Cc1ccc2[nH]cc(C(=O)N3CCC(Nc4ccc(Cl)cc4)CC3)c2c1,0.03
E-0012936,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncc(Cl)cc45)CC3)cc2)C1,4.1
E-0013506,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncc(F)cc45)CC3)cc2)C1,12.0
E-0013511,NC(=O)Cc1cccc(Nc2cccc(-c3cccnc3)n2)n1,13.7
E-0013595,CCOc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,1.2
E-0013606,CN1CCC(Cc2ccc(Nc3cccc(-c4cccnc4)n3)cc2)CC1,1.6
E-0013608,O=C1CCc2ccc(-c3cccc(OCCN4CCCCC4)n3)cc2N1,3.7
E-0013639,CN1CCC(c2cccc(Nc3cccc(-c4cc(F)cc(N5CCOCC5)c4)n3)c2)CC1,0.0
E-0013649,O=C(c1[nH]nc2ccccc12)N1CCC(Oc2cncc(Cl)c2)CC1,2.3
E-0013664,c1cc2ccc(-n3cc(OCCNC4CCOCC4)cn3)cc2cn1,7.3
E-0013665,FC1(F)CCC(NCCOc2cnn(-c3ccc4ccncc4c3)c2)CC1,2.4
E-0013667,c1cc2ccc(-n3cc(OCC4CCN4)cn3)cc2cn1,7.3
E-0013670,CN1C(=O)CCc2ccc(-c3cccc(OCCN4CCCCC4)n3)cc21,5.3
E-0013674,O=C(c1[nH]ncc1C1CC1)N1CCC(Oc2ccc(Cl)cc2)CC1,0.5
E-0013679,Cn1cnc2ccc(OC3CCN(C(=O)c4[nH]nc5ccccc45)CC3)cc21,8.3
E-0013694,O=C1CCc2ccc(-c3cc(OCCN4CCCCC4)ccn3)cc2N1,16.1
E-0013695,CN1C(=O)CCc2ccc(-c3cc(OCCN4CCCCC4)ccn3)cc21,16.1
E-0013702,c1cc(Nc2ccc(CN3CCOCC3)cc2)nc(-c2cncnc2)c1,11.4
E-0013707,Cn1cnc2ccc(-c3c[nH]nc3C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)cc21,1.0
E-0013711,O=C(c1[nH]ncc1-c1ccc2ocnc2c1)N1CCC(Oc2ccc(Cl)cc2)CC1,0.4
E-0013720,COc1ccc2[nH]c3c(=O)n(C[C@@H]4CCN(C)C4)cnc3c2c1,9.6
E-0013725,O=c1c2[nH]c3cc(F)ccc3c2ccn1CCCN1CCCCC1,2.2
E-0013726,C[C@H](N)COc1cnn(-c2ccc3ccncc3c2)c1,5.7
E-0013729,Fc1cccc(-c2ccnc(Nc3ccc(NC4CCOCC4)cc3)n2)c1,0.4
E-0013732,c1cc(-c2ccnc(Nc3ccc(CN4CCOCC4)cc3)n2)cnn1,21.7
E-0013734,O=c1ccc(-c2cccc(Nc3ccc(CN4CCOCC4)cc3)n2)c[nH]1,10.7
E-0013735,Nc1cc(OCCN2CCCCC2)ccc1-c1ccc2ccncc2c1,3.1
E-0013745,COc1cccc2c1c1ccn(C[C@@H]3CCCN(C)C3)c(=O)c1n2C,0.75
E-0013753,O=C(c1n[nH]cc1-c1ccccc1)N1[C@@H]2CC[C@H]1C[C@H](Oc1ccc(Cl)cc1)C2,0.1
E-0013754,Cn1ccc(-c2c[nH]nc2C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)n1,1.8
E-0013756,CN1CC(Cc2ccc(Nc3cccc(-c4cccc(F)c4)n3)cc2)C1,0.1
E-0013758,Fc1cccc(-c2ccnc(Nc3ccc(NC4CCNCC4)cc3)n2)c1,0.2
E-0013760,Nc1cc2ccncc2cc1-c1ccc(OCCN2CCCCC2)cc1,5.1
E-0013768,O=C(c1n[nH]c2cccnc12)N1[C@@H]2CC[C@H]1C[C@H](Oc1ccc(Cl)cc1)C2,0.9
E-0013770,O=C(c1n[nH]c2cc(OC(F)(F)F)ccc12)N1CCC(Oc2cncc(Cl)c2)CC1,0.3
E-0013771,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2cncc(Cl)c2)CC1,14.3
E-0013772,O=C(c1n[nH]c2cccnc12)N1CCC(Nc2cncc(Cl)c2)CC1,17.1
E-0013778,COCC1CN(Cc2cccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)c2)C1,22.9
E-0013780,COC1CN(Cc2cccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)c2)C1,22.0
E-0013783,CN1CCC[C@@H](Cn2ccc3c([nH]c4ccc(OCC(F)F)cc43)c2=O)C1,1.8
E-0013788,c1cc2ccc(-c3ccc(OCCCN4CCCCC4)cc3)cc2cn1,0.4
E-0013789,COc1cncc(-c2cn(C)c3ccc(OC4CCNC4)cc23)c1,2.82
E-0013793,c1cc2ccc(-c3ccc(OCCCN4CCCC4)cc3)cc2cn1,0.4
E-0013797,O=C(c1[nH]nc2cccnc12)N1C[C@H]2C[C@H](Oc3ccc(Cl)cc3)C[C@H]2C1,0.3
E-0013799,O=C(c1n[nH]c2ccccc12)N1CCC(Nc2ccccc2)CC1,4.1
E-0013800,O=C(c1c[nH]c2cccnc12)N1CCC(Nc2ccc(Cl)cc2)CC1,1.1
E-0013803,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2cccnc2C(F)(F)F)CC1,14.0
E-0013807,O=c1c2[nH]c3c(F)cccc3c2ncn1CCCN1CCCCC1,9.3
E-0013809,COc1ccc2[nH]c3c(=O)n([C@H](C)CCN4CCCCC4)ccc3c2c1,3.6
E-0013810,COc1ccc2[nH]c3c(=O)n([C@@H](C)CCN4CCCCC4)ccc3c2c1,3.6
E-0013811,CCOc1ccc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)cnc3c2c1,3.0
E-0013813,COCC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)C[C@H]3C)cc2)C1,20.8
E-0013815,CN1CCC[C@@H](Cn2ccc3c([nH]c4ccc(OCC5COC5)cc43)c2=O)C1,10.0
E-0013820,O=C(c1n[nH]cc1-c1coc(C(F)(F)F)c1)N1CCC(Oc2ccc(Cl)cc2)CC1,0.04
E-0013827,COc1ccc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2n1,6.4
E-0013829,COc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2cc1F,2.1
E-0013833,CCOc1ccc2[nH]c3c(=O)n(C[C@@H]4CCN(C)C4)cnc3c2c1,3.8
E-0013841,COc1cncc(-c2cn(C)c3ccc(OC4CCN(C)C4)cc23)c1,4.02
E-0013843,c1cc2ccc(-c3ccc(OCCN4CCCC4)cc3)cc2cn1,0.92
E-0013844,COCCNC(=O)c1ccc(-c2ccc3ccncc3c2)cc1,7.25
E-0013845,CNc1cc2ccncc2cc1-c1ccc(OCCN2CCCCC2)cn1,3.1
E-0013846,CNc1cc2ccncc2cc1-c1ccc(OCCN2CCCCC2)cc1,2.63
E-0013848,COc1cncc(-c2cn(C)c3ccc(OCC4CNC4)cc23)c1,2.7
E-0013849,COc1cncc(-c2cn(C)c3ccc(OC4CNC4)cc23)c1,2.6
E-0013850,COc1cncc(-c2cn(C)c3ccc(OC4CN(C)C4)cc23)c1,4.55
E-0013866,COc1ccc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ncc12,5.6
E-0013869,COCC1CN([C@@H](COC)c2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,29.1
E-0013870,COCC1CN([C@H](COC)c2ccc(N3CCN(C(=O)c4cn(C)c5ncccc45)CC3)cc2)C1,23.0
E-0013871,CC[C@@H](c1ccc(N2CCN(C(=O)c3cn(C)c4ncccc34)CC2)cc1)N1CC(COC)C1,24.9
E-0013892,COc1ccc(-c2cc(C(=O)N3CCC(Oc4cncc(Cl)c4)CC3)n[nH]2)cc1OC,1.32
E-0013910,COc1cncc(-c2cn(C)c3ccc(OC[C@H](C)NC4CCOCC4)cc23)c1,3.3
E-0013911,CC(C)Nc1ccc(-c2cn(C)c3ccc(OCCCN4CCCC4)cc23)cn1,1.23
E-0013915,Fc1cccc(-c2cccc(Nc3ccc(CCN4CC(F)(F)C4)cc3)n2)c1,0.04
E-0013916,Fc1cccc(-c2cccc(Nc3ccc(CCN4CCC4)cc3)n2)c1,0.09
E-0013917,CC(=O)N[C@@H](C)COc1cccc(-c2ccc3c(c2)NC(=O)CC3)c1,4.9
E-0013927,COc1ccc(-c2cc(C(=O)N3CCC(Oc4cncc(Cl)c4)CC3)n[nH]2)c(OC)c1,0.55
E-0013941,c1cc2ccc(-c3ccc(OCCN4CCNCC4)cc3)cc2cn1,1.1
E-0013951,CC(=O)NCCOc1ccc(-c2ccc3ccncc3c2)cc1,2.64
E-0013952,c1cnc2cc(-c3ccc(OCCN4CCCCC4)cc3)ccc2c1,1.14
E-0013955,Nc1ccc(OCCN2CCCCC2)cc1-c1cc(-c2ccncc2)ccn1,16.07
E-0013992,COc1ccc2c(c1)c1ncn(C[C@H]3CCN(C)C3)c(=O)c1n2C,6.61
E-0013995,O=c1c2[nH]c3c(F)cccc3c2ccn1CCCN1CCCCC1,2.89
E-0014019,O=C1CCc2cc(-n3ccc(OCC4CNC4)n3)ccc2N1,35.97
E-0014029,CNC(=O)Cc1cccc(Nc2cccc(-c3cccnc3)n2)n1,17.98
E-0014033,CC(=O)Nc1cccc(Nc2cccc(-c3cccnc3)n2)n1,4.21
E-0014034,O=C(c1n[nH]cc1-c1ccc2c(c1)OCO2)N1CCC(Oc2cncc(Cl)c2)CC1,1.02
E-0014046,COc1ccc(Nc2nccc(N(CCc3ccncc3)C3CC3)n2)cc1,0.67
E-0014051,Cc1ncc(COc2ccc3c(c2)c2ccn(CCCN4CCCCC4)c(=O)c2n3C)o1,2.53
E-0014054,Cn1c2ccc(OCc3cn[nH]c3)cc2c2ccn(CCCN3CCCCC3)c(=O)c21,4.63
E-0014060,Cn1c2cc(Cl)ccc2c2cc(=O)n(CCCN3CCCCC3)nc21,3.29
E-0014065,COc1cc(C(F)(F)F)c2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2c1,0.67
E-0014079,O=C(c1n[nH]cc1C1CC1)N1CCC(Oc2ccc(Br)cc2)CC1,0.4
E-0014080,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2ccc(Br)cc2)CC1,0.77
E-0014089,O=C(c1n[nH]cc1-c1ccc2ncsc2c1)N1CCN(Cc2ccccc2)CC1,6.67
E-0014090,COc1ccccc1-c1cc(C(=O)N2CCC(Oc3cncc(Cl)c3)CC2)[nH]n1,0.82
E-0014097,C[C@@H](NCCn1ccc2c3ccc(F)cc3n(C)c2c1=O)[C@@H]1CCC(=O)N1,2.0
E-0014100,CCOc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2cc1F,0.8
E-0014107,CN1CCC[C@@H](Cn2ccc3c([nH]c4cc(OCC5CC5)ccc43)c2=O)C1,0.34
E-0014108,CCOc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2cn1,6.66
E-0014110,CC(C)NCCn1ccc2c([nH]c3cc(F)ccc32)c1=O,2.32
E-0014118,NC(=O)Cn1ccc(Nc2cccc(-c3cccnc3)n2)n1,35.08
E-0014128,O=C(c1n[nH]cc1-c1ccc2ncsc2c1)N1CCC(OC2CCNCC2)CC1,46.33
E-0014131,N#Cc1ccc(OC2CCN(C(=O)c3n[nH]cc3-c3ccc4ncsc4c3)CC2)cc1,2.21
E-0014139,NC(=O)Cc1ccnc(Nc2cccc(-c3cccnc3)n2)n1,41.23
E-0014148,CNC(=O)N1CCC(OC2CCN(C(=O)c3n[nH]cc3-c3ccc4ncsc4c3)CC2)CC1,38.0
E-0014149,O=C(c1n[nH]cc1-c1ccc2ncsc2c1)N1CCC(OC2CCN(C3CC3)CC2)CC1,20.73
E-0014150,O=C(c1n[nH]cc1C#Cc1cncs1)N1CCN(Cc2cncc(Cl)c2)CC1,16.83
E-0014151,COc1ccc(-c2ncc(C(=O)N3CCC(Oc4cncc(Cl)c4)CC3)[nH]2)c(OC)c1,0.85
E-0014162,O=c1c2[nH]c3cc(F)ccc3c2ccn1CCC1CNC1,1.55
E-0014166,O=c1c2[nH]c3cc(Cl)ncc3c2ccn1CCCN1CCCCC1,9.29
E-0014167,O=c1c2[nH]c3cc(F)ncc3c2ccn1CCCN1CCCCC1,18.2
E-0014170,c1ccc(-n2ccc(Nc3ccc(OCCCN4CCCC4)cc3)n2)nc1,2.1
E-0014173,FC1(F)CCN(CCOc2ccc(-c3ccc4ccncc4c3)cc2)CC1,0.1
E-0014181,O=C(c1n[nH]cc1C#Cc1cncs1)N1CCC(Oc2cncc(Cl)c2)CC1,2.84
E-0014226,Cn1c2ccc(Cl)cc2c2cc(=O)n(CCCN3CCCCC3)nc21,4.07
E-0014227,O=c1c2[nH]c3cc(F)ccc3c2ccn1CCCC1CNC1,0.96
E-0014228,CNCCCn1ccc2c([nH]c3cc(F)ccc32)c1=O,1.42
E-0014229,O=c1c2[nH]c3cc(OCF)ccc3c2ccn1CCCN1CCCCC1,2.98
E-0014235,Cc1cnc2c(-c3cn[nH]c3C(=O)N3CCC(Oc4ccc(Cl)cc4)CC3)cnn2c1,0.68
E-0014239,O=C(c1n[nH]cc1-c1ccc2ncsc2c1)N1CCN(C2CC2)CC1,22.92
E-0014240,O=C(c1n[nH]cc1-c1ccc2ncsc2c1)N1CCN(CC(F)(F)F)CC1,25.49
E-0014241,CCN1CCN(C(=O)c2n[nH]cc2-c2ccc3ncsc3c2)CC1,45.85
E-0014297,O=C(c1[nH]ncc1-c1ccc2scnc2c1)N1CCC(Oc2ccc(Cl)cc2)CC1,0.2
E-0014298,O=C(c1n[nH]cc1-c1ccc2scnc2c1)N1CCC(c2ccc(Cl)cc2)CC1,0.12
E-0014299,Clc1ccc(C2CCN(Cc3n[nH]cc3-c3ccc4ncsc4c3)CC2)cc1,0.12
E-0014300,Clc1ccc(N2CCN(Cc3n[nH]cc3-c3ccc4ncsc4c3)CC2)cc1,0.09
E-0014316,C#Cc1cccc2c(C(=O)N3CCN(c4ccc(CN5CC(OC)C5)cc4)CC3)cn(C)c12,1.94
E-0014317,COC1CN(Cc2ccc(N3CCN(C(=O)c4cn(C)c5c(C#N)cccc45)CC3)cc2)C1,5.36
E-0014326,CCC(C(N)=O)c1cccc(Nc2cccc(-c3cccnc3)n2)n1,5.89
E-0014337,NC(=O)Cc1cccc(Nc2cccc(-c3cccnc3Cl)n2)n1,13.97
E-0014341,c1cc2ccc(-c3ccc(OCCNC4COC4)cc3)cc2cn1,1.5
E-0014345,CNc1cc(OC)ncc1-c1cc(C(=O)N2CCC(Oc3cncc(Cl)c3)CC2)on1,0.51
E-0014347,Clc1cncc(O[C@@H]2[C@@H]3CC[C@H]2CN(Cc2n[nH]c4cccnc24)C3)c1,2.82
E-0014351,O=C(c1n[nH]cc1-c1ccc2ocnc2c1)N1CCC(Oc2cncc(Cl)c2)CC1,3.87
E-0014352,O=C(c1[nH]ncc1-c1cc2ccccc2[nH]1)N1CCC(Oc2cncc(Cl)c2)CC1,0.1
E-0014353,O=C(c1n[nH]cc1-c1ccn2nccc2n1)N1CCC[C@H](Oc2cncc(Cl)c2)C1,18.16
E-0014355,O=C(c1n[nH]cc1-c1ccn2nccc2n1)N1CCN(C2CC2)CC1,41.32
E-0014358,COc1cncc(OC2CCN(C(=O)c3cc(-c4ccc(OC)cc4OC)[nH]n3)CC2)c1,1.93
E-0014361,COc1ccc2c(c1)[nH]c1c(C(=O)NCCCN3CCCCC3)ccnc12,3.03
E-0014363,CN1CCC[C@@H](Cn2nc3c(cc2=O)c2ccc(Cl)cc2n3C)C1,3.64
E-0014365,Cn1c2cc(Cl)ncc2c2ccn(CCCN3CCCCC3)c(=O)c21,6.75
E-0014366,CN1CCC[C@@H](Cn2ccc3c([nH]c4cc(C(F)(F)F)ncc43)c2=O)C1,9.84
E-0014379,CC(C)NCCOc1ccc(-c2ccc3ccncc3c2)cc1,1.16
E-0014390,COc1cc2ocnc2cc1-c1cc(C(=O)N2CCC(Oc3ccc(Cl)cc3)CC2)[nH]n1,0.11
E-0014393,O=C(c1n[nH]cc1C#Cc1cncs1)N1CCC(OC2CCN(C3CC3)CC2)CC1,24.3
E-0014397,O=C(c1n[nH]cc1C(F)(F)F)N1CCC(Oc2ccc(Cl)cc2)CC1,0.42
E-0014401,COc1ccccc1-c1cc(C(=O)N2CCC(OC3CCN(C4CC4)CC3)CC2)[nH]n1,10.75
E-0014403,O=C(c1n[nH]c2cccnc12)N1CCN(Cc2ccc(Cl)c(F)c2)CC1,3.79
E-0014407,Cc1cc2[nH]c3c(=O)n(CCCN4CCCCC4)ccc3c2s1,2.55
E-0014408,COc1ccc2c3cc(=O)n(C[C@@H]4CCCN(C)C4)nc3n(C)c2c1,13.4
E-0014409,COc1ccc2c3cc(OC[C@@H]4CCCN(C)C4)nnc3n(C)c2c1,2.5
E-0014424,NC(=O)Cc1cccc(Nc2cccc(-c3cnccn3)n2)n1,15.76
E-0014425,O=C(Cn1cccc(Nc2cccc(-c3cccnc3)n2)c1=O)N1CCC1,20.15
E-0014444,Clc1cncc(CN2CCC(Nc3n[nH]cc3-c3ccc4ncsc4c3)CC2)c1,3.06
E-0014447,CCOC1CCN(C(=O)c2n[nH]cc2-c2ccc3ncsc3c2)CC1,27.78
E-0014458,COc1cc2c(cn1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,9.5
E-0014462,CCOc1cnc2c(c1)[nH]c1c(=O)n(CCCN3CCCCC3)ccc12,10.07
E-0014488,Cn1cc(-c2ccc(Cl)nc2)c2cc(OC3CNC3)ccc21,0.93
E-0014489,Cc1c(N)c(-c2ccc(OCCN3CCCCC3)cc2)cc2cnccc12,3.31
E-0014500,NC(=O)Cc1cc(Nc2cc(-c3cccc(F)c3)ccn2)ccn1,1.31
E-0014504,c1cncc(-c2ccnc(Nc3ccc(CN4CCCCC4)cc3)c2)c1,5.15
E-0014507,c1cc2cc(n1)CCCOc1ccc(cc1)Nc1ccnc(n1)OCC2,2.21
E-0014508,CN1CCC(OC2CCN(C(=O)c3n[nH]cc3-c3ccc4ncsc4c3)CC2)CC1,48.41
E-0014509,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2ccc(C3CC3)nc2)CC1,9.69
E-0014512,O=C(c1n[nH]c2cccnc12)N1CCC(n2cnc3cc(Cl)ccc32)CC1,5.72
E-0014513,O=C(c1n[nH]c2ccccc12)N1CCC(Oc2cncc(C(F)(F)F)c2)CC1,1.76
E-0014514,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2cncc(C(F)(F)F)c2)CC1,14.56
E-0014517,O=C(c1n[nH]c2cc(-c3ccccn3)ccc12)N1CCC(Oc2cncc(Cl)c2)CC1,0.56
E-0014520,O=C(c1cccc2cn[nH]c12)N1CCC(Oc2cncc(Cl)c2)CC1,5.39
E-0014523,O=C(c1cccc2[nH]ncc12)N1CCC(Oc2cncc(Cl)c2)CC1,6.48
E-0014528,O=C(c1cccc2nc[nH]c12)N1CCC(Oc2cncc(Cl)c2)CC1,7.9
E-0014529,O=C(c1cccc2nc[nH]c12)N1CCC(OC2CCN(C3CC3)CC2)CC1,54.16
E-0014533,CN1CCC[C@@H](Cn2ccc3c([nH]c4cc(F)ccc43)c2=O)C1=O,4.2
E-0014537,O=c1c2[nH]c3cc(F)ccc3c2ccn1CCC1CCN1,1.61
E-0014552,Fc1cccc(-c2ccnc(Nc3ccc(CN4CCCCC4)cc3)c2)c1,0.18
E-0014554,CC(=O)Nc1cccc(Nc2cc(-c3cccnc3)ccn2)n1,6.83
E-0014555,c1cc2ccc(-c3ccc(OCCN4CCOCC4)cc3)cc2cn1,1.32
E-0014556,CN1CCN(Cc2ccc(Nc3cccc(-c4cccc(F)c4)n3)cc2)CC1,0.12
E-0014557,CN1CCN(Cc2ccc(Nc3cc(-c4cccc(F)c4)ccn3)cc2)CC1,0.29
E-0014568,O=C(c1cccc2ccc(=O)[nH]c12)N1CCC(Oc2cncc(Cl)c2)CC1,12.75
E-0014573,O=C(c1n[nH]c2cc(-c3ncccn3)ccc12)N1CCC(Oc2cncc(Cl)c2)CC1,1.31
E-0014574,O=C(c1cccc2ccc(=O)[nH]c12)N1CCC(OC2CCN(C3CC3)CC2)CC1,63.28
E-0014575,COc1cncc(OC2CCN(C(=O)c3cc(-c4ccccc4OC)[nH]n3)CC2)c1,2.71
E-0014578,COc1cncc(OC2CCN(C(=O)c3n[nH]c4cccnc34)CC2)c1,36.75
E-0014579,COc1cnc2cc3c(=O)n(CCCN4CCCCC4)ccn3c2c1,26.15
E-0014580,CN1CCC[C@H](Cn2ccc3c([nH]c4cc(F)ccc43)c2=O)C1=O,2.85
E-0014582,CCOc1cc2[nH]c3c(=O)n(C[C@@H]4CCCN(C)C4)ccc3c2cn1,7.77
E-0014590,CNC(=O)Cc1cc(Nc2nccc(-c3cccnc3)n2)ccn1,16.76
E-0014592,NC(=O)Cc1cccc(Nc2nccc(-c3cccc(F)c3)n2)c1,0.87
E-0014593,O=C1CCCN1CCOc1ccc(-c2ccc3ccncc3c2)cc1,1.58
E-0014597,c1cc2ccc(-c3ccc(CCN4CCC4)cc3)cc2cn1,1.99
E-0014601,CNC(=O)Cc1cccc(Nc2nccc(-c3cccnc3)n2)c1,17.03
E-0014602,COc1cccnc1-c1cc(C(=O)N2CCC(Oc3cncc(Cl)c3)CC2)n[nH]1,3.44
E-0014603,COc1ccc(-c2cc(C(=O)N3CCC(Oc4cncc(Cl)c4)CC3)n[nH]2)nc1,2.8
E-0014619,O=C(NCCCN1CCCCC1)c1ccnc2c1[nH]c1cc(Cl)ncc12,3.46
E-0014620,CCOc1cc2c(cn1)c1ccn(CCCN3CCCCC3)c(=O)c1n2C,2.67
E-0014624,CN1CCN(CCCOc2ccc3sc4c(c3c2)SCCNC4=O)CC1,11.97
E-0014633,CN1CCN(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)CC1=O,1.17
E-0014634,CN1CCN(Cc2ccc(Nc3nccc(-c4cccc(F)c4)n3)cc2)C(=O)C1,1.73
E-0014637,Fc1cccc(-c2ccnc(Nc3ccc(CCN4CCC4)cc3)c2)c1,0.3
E-0014639,CN(c1cc(-c2cccnc2)ccn1)c1cccc(CC(N)=O)n1,51.88
E-0014641,c1cc2ccc(-c3cnn(CCN4CCC4)c3)cc2cn1,18.9
E-0014642,Nc1cc(OCCN2CCCCC2)ccc1-c1cc(-c2ccncc2)ccn1,4.83
E-0014644,O=C(c1n[nH]c2ccccc12)N1CCC(O[C@H]2CN3CCC2CC3)CC1,71.57
E-0014646,COc1cncnc1-c1cc(C(=O)N2CCC(Oc3cncc(Cl)c3)CC2)n[nH]1,7.41
E-0014654,COc1ccc(Oc2nccc(N(CCc3ccncc3)C3CC3)n2)cc1,2.37
E-0014656,O=C(c1n[nH]c2cccnc12)N1CC[C@@H](Oc2cncc(Cl)c2)C1,25.32
E-0014657,O=C(c1n[nH]c2cccnc12)N1CC[C@H](Oc2cncc(Cl)c2)C1,29.19
E-0014660,COc1ccc2c([nH]c3c(=O)n(CCCN4CCCCC4)ccc32)c1C(F)(F)F,0.54
E-0014672,COc1ccc(N(C)c2nccc(NCCc3ccncc3)n2)cc1,3.05
E-0014674,O=C(c1n[nH]c2cccnc12)N1CCC(Oc2cncc(C3CC3)c2)CC1,12.42
E-0014679,O=C(c1n[nH]cc1C#Cc1cncnc1)N1CCC(Oc2ccc(Cl)cc2)CC1,0.82
E-0014691,CNC(=O)Cc1cccc(Nc2cccc(-c3cccc(F)c3)n2)n1,0.48
E-0014692,FC1(F)CCN(Cc2ccc(Nc3cccc(-c4cccnc4)n3)nc2)CC1,1.49
E-0014698,FC1(F)CN(CCOc2ccc(-c3ccc4ccncc4c3)cc2)C1,0.36
E-0014699,FC1(F)CCN(CCOc2ccc(-c3ccc4ccncc4c3)cc2)C1,0.21
E-0014701,CC[C@@H](C(N)=O)c1cccc(Nc2cccc(-c3cccnc3)n2)n1,6.29
E-0014769,FC1(F)CC(NCCOc2ccc(-c3ccc4ccncc4c3)cc2)C1,0.47
