Molecule name,SMILES,HLM
ASAP-0020904,C#CCCCCC1=CC=C(OCCCC2=CC(C(=O)N(C)C)=NO2)C=C1,79.9
ASAP-0020843,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(F)C=C2)=C1,42.6
ASAP-0020827,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=NC=C2)=NO1,19.6
ASAP-0020873,CN(C)C(=O)C1=NOC(CCCOC2=CC=C(C3=NOC(C4CC4)=N3)C=C2)=C1,29.8
ASAP-0020915,O=C(NC1=CC(Cl)=CC(C(=O)NC2=CC=C3CNCC3=C2)=C1)OCC1=CC=CC=C1,12.7
ASAP-0017673,O=C(O)C1=CC(Cl)=CC=C1S(=O)(=O)NC1CCN(C2=NC(C3CC3)=CC(C(F)(F)F)=N2)CC1,26.3
ASAP-0017622,CN(C)C(=O)C1=NOC(CCCN2C=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,28.9
ASAP-0017652,CN(C)C(=O)C1=NOC(CCCN2C=CC3=NC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,51.3
ASAP-0017692,NCCC1=CC=C(NC(=O)C2=CC(Cl)=CC(NC(=O)OCC3=CC=CC=C3)=C2)C=C1,17.5
ASAP-0017520,CC1=CC(OCC2=CC=CC=C2)=CC=C1NS(=O)(=O)C1=CC=C(Cl)C=C1C(=O)O,22.3
ASAP-0017501,CCOC1=CC=CC(C2=CC=C(S(=O)(=O)NC3=CC=C(Cl)C=C3C(=O)O)C=C2)=C1,119.0
ASAP-0017573,O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(C2=CC=CC=C2Cl)C=C1,343.0
ASAP-0017585,O=C(O)C1=CC(Cl)=C(F)C=C1S(=O)(=O)NC1=CC=C(OC2=CC=CC=C2Cl)C=C1,67.4
ASAP-0017583,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C(Br)=C2)=C1,12.4
ASAP-0017436,CCOC1=NOC2=CC(OCCC3CCN(C4=CC=C(C)N=N4)CC3)=CC=C12,41.7
ASAP-0017442,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC2=CC=CC=C2N1,11.0
ASAP-0017444,COC1=CC=C2NC(CCCOC3=CC=C(C4=NOC(C(F)(F)F)=N4)C=C3C)=NC2=N1,30.5
ASAP-0017438,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=NC(C2=CC=CN=C2)=NO1,16.6
ASAP-0017437,CN(C)C(=O)C1=NOC(CCCOC2=CC=C3CCCCC3=C2F)=C1,166.0
ASAP-0017441,CCOC(=O)C1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,708.0
ASAP-0017292,CC1=NN=C(CCCOC2=CC=C(C3=NOC(C(F)(F)F)=N3)C=C2C)O1,16.6
ASAP-0017304,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=CC=N1,10.7
ASAP-0017297,CN(C)C(=O)C1=NOC(CCCN2N=CC3=CC(C4=NOC(C(F)(F)F)=N4)=CC=C32)=C1,14.7
ASAP-0017287,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=CN=C1,14.9
ASAP-0017295,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CSN=N1,27.5
ASAP-0017294,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CN=CO1,10.5
ASAP-0017306,CC1=CC=NC=C1CCCOC1=CC=C(C2=NOC(C(F)(F)F)=N2)C=C1C,13.1
ASAP-0017290,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC=NC=C1,10.9
ASAP-0017288,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N(C)C)=NO1,11.0
ASAP-0017296,CC1=NC(C2=CC=C(OCCCCCN3CCN(C4=CC=NC(N)=C4)C3=O)C=C2)=NO1,32.8
ASAP-0017289,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CN(C)N=C1,18.1
ASAP-0017308,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1OCCCC1=CC(C(=O)N2CCOCC2)=NO1,18.5
ASAP-0017298,CCON=CC1=CC=C(OCCC2CCN(C3=CC=C(C)N=N3)CC2)C=C1,17.7
ASAP-0017309,CC1=CC(C2=NOC(C(F)(F)F)=N2)=CC=C1CCOCC1=CC(C(=O)N(C)C)=NO1,48.4
ASAP-0017037,O=C1NC(=O)[C@@H](CC2=CC=C3OCOC3=C2)C2=CC=CC=C12,32.4
ASAP-0016818,CC(C)CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,198.0
ASAP-0016843,O=C(NCC(F)(F)F)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,70.0
ASAP-0016784,NCC1=CC=CC(NC(=O)C2=CC(OCC3=CC=CC=C3)=CC=C2CNC(=O)OCC2=CC=CC=C2)=C1,21.0
ASAP-0016778,NCC1=CC=CC(NC(=O)CN(C(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,11.0
ASAP-0016768,CC1=CC(C2=CC=C([C@H](NC(=O)OCC3=CC=CC=C3)C(=O)NC3=CC=CC(CN)=C3)C=C2)=CS1,29.5
ASAP-0016664,O=C1NC(=O)[C@H](CC2=CC=CC(Cl)=C2)C2=CC=CC=C12,170.0
ASAP-0016554,NCC1=CC=CC(NC(=O)C[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,17.0
ASAP-0016445,CC1=CC(NC(=O)NC2=CNC(=O)C3=CC=C(F)C=C23)=NO1,12.5
ASAP-0016345,O=C1C2=CC=CC=C2[C@H](CC2=CC=C(O)C=C2)C(=O)N1CC1=CC=C2OCOC2=C1,421.0
ASAP-0016386,NCC1=CC=CC(CNC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,3.89
ASAP-0016242,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C(C2CCC2)C2CCC2)=C1,12.6
ASAP-0016236,C1=CC=C2SC(C3CCN(CC4=CNC5=CC=CC=C45)CC3)=NC2=C1,38.1
ASAP-0016130,O=C(NCC1=CC=CC=N1)NC1=CNC(=O)C2=CC(Cl)=CC=C12,11.4
ASAP-0016121,NCC1=CC=CC(NC(=O)[C@H](NC(=O)OCC2=CC=CC=C2)C2CCCCC2)=C1,5.29
ASAP-0016304,CC1=NOC(CCCOC2=C(C)C=C(C3=NOC(C(F)(F)F)=N3)C=C2C)=C1,11.6
ASAP-0015912,COC1=CC=CC=C1NC(=O)NC1=CNC(=O)C2=CC=CC=C12,16.5
ASAP-0015925,CNC(=O)C1=CC(Cl)=C(F)C=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,71.3
ASAP-0014722,C[C@H](C(=O)O)[C@@H](NC(=O)C1=NC=NC2=C1C=CN2)C1=CC=C(Br)C=C1,3.0
ASAP-0015892,CCCC[C@H](NC(=O)OC(C)(C)C)C(=O)N[C@H](C(=O)NCC1=CC=C(CN)C=C1)C1=CC=C(OCC2=CC=CC=C2)C=C1,56.0
ASAP-0015682,O=C(O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,155.0
ASAP-0015381,COC1=CC=C([C@H](CC2=NN=NN2)NC(=O)C2=NC=NC3=C2C=CN3)C=C1,2.0
ASAP-0015396,C1=CC=C2C(CN3CCC(C4=CNC5=CC=CN=C45)CC3)=CNC2=C1,16.0
ASAP-0015355,COC1=CC(CC2=C(C)ON=C2C2=CC=C(F)C=C2)=NC(N2CCNCC2)=N1,15.0
ASAP-0015367,NCC1=CC=CC(NC(=O)[C@@H](NC(=O)OCC2=CC=CC=C2)C2=CC=C(OCC3=CC=CC=C3)C=C2)=C1,11.0
ASAP-0015169,NC1=NN=C2C=CC(C3=CC=C4NC(=O)CNC4=C3)=CN12,15.6
ASAP-0014994,CNC(=O)C1=CC(Cl)=CC=C1NS(=O)(=O)C1=CC=C(OC2=CC=CC=C2Cl)C=C1,106.0
ASAP-0014913,CN1C=C(NC(=O)NCC2=CC=CC=N2)C2=CN=CC=C2C1=O,4.11
ASAP-0012944,O=C(/C=C/C1=CC=CC=C1)C(=O)N1CCN(CCC2=CC=CC=C2)CC1,167.0
ASAP-0014807,CC1=NC=CN1C[C@H](C)CNC(=O)C1=CC=C2COB(O)C2=C1,1.0
ASAP-0014822,C[C@H]1CN(C[C@H](O)CNC(=O)C2=CC=C3COB(O)C3=C2)CCO1,8.0
ASAP-0014818,CN1CCN(C)[C@H](CNC(=O)C2=CC=C3COB(O)C3=C2)C1,14.0
ASAP-0014817,O=C(C1=CC=C2COB(O)C2=C1)N1CCN[C@H](C2=CC=CC=C2)C1,4.0
ASAP-0014813,O=C(C[C@H]1CCN2C=NC=C2C1)NC1=CC=CC(B(O)O)=C1,8.0
ASAP-0014761,CC1=CC(NC(=O)NC2=CNC(=O)C3=CC=CC=C23)=NO1,9.69
ASAP-0014724,CN1CC[C@H](NC(=O)C2=CC=CC(B(O)O)=C2)[C@H]1C1=CC=C(Cl)C=C1,21.0
ASAP-0014734,CN(C(=O)C1=CC=C2COB(O)C2=C1)[C@H]1CCN(C2CC2)C1,16.0
ASAP-0014739,O=C(NC1=CC=CC(B(O)O)=C1)[C@H]1CCN2CCC[C@H]2C1,9.0
ASAP-0014731,O=C(NC1=CC=CC(B(O)O)=C1)[C@H]1CCN(CC2=CC=CC=C2)C1,7.0
ASAP-0014809,CN(C)C[C@H]1C[C@H](NC(=O)C2=CC=C3COB(O)C3=C2)C1,5.0
ASAP-0014613,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CC=NN=C1)C(=O)C1=CC=C(F)C=C12,19.0
ASAP-0014544,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=C(Cl)N=N2)C2=CC(Cl)=CC=C2C1=O,70.0
ASAP-0013892,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CN=CS2)C2=CC(Cl)=CC=C2C1=O,39.0
ASAP-0013898,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CCN1CCN(S(C)(=O)=O)CC1)C(=O)C1=CC=C(Cl)C=C12,237.0
ASAP-0013925,O=C1C2=CC=C(Cl)C=C2[C@@]2(CN1CCN1CCOCC1)C(=O)N(C1=CN=CC3=CC=CC=C13)C[C@@H]2CNC1=NC=CC=N1,108.0
ASAP-0013827,CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1,1330.0
ASAP-0013814,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=C(C)N=CS2)C2=CC(Cl)=CC=C2C1=O,17.0
ASAP-0013824,CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCOC4=C3)C(C)C)N=CN=C2N1,67.0
ASAP-0013833,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1,500.0
ASAP-0013837,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2OCCOC2=C1,108.0
ASAP-0013747,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,297.0
ASAP-0013744,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(=O)N(C)C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,92.0
ASAP-0013717,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)NC)C2=CC(Cl)=CC=C2C1=O,83.0
ASAP-0013646,COC1=CC=C(C(=O)NC2=CC=CC(/C=C3/C(=O)NC(=O)C4=CC=CC=C34)=C2)C=C1,180.0
ASAP-0013722,CC1=NOC(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)=C1,80.0
ASAP-0013721,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NN=NN1C)C(=O)C1=CC=C(F)C=C12,58.0
ASAP-0013720,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CN1C)C(=O)C1=CC=C(F)C=C12,195.0
ASAP-0013719,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC#N)C(=O)C1=CC=C(F)C=C12,85.0
ASAP-0013718,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CN2N=CN=N2)C2=CC(Cl)=CC=C2C1=O,44.0
ASAP-0013716,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CN=C(C)S2)C2=CC(Cl)=CC=C2C1=O,26.0
ASAP-0013398,CCN1N=CC=C1CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,256.0
ASAP-0013413,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CC=NN1C)C(=O)C1=CC=C(F)C=C12,131.0
ASAP-0013412,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNN=N1)C(=O)C1=CC=C(F)C=C12,11.0
ASAP-0013405,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CN2C=CC=N2)C2=CC(Cl)=CC=C2C1=O,51.0
ASAP-0013407,CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,3.0
ASAP-0013414,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=COC=N1)C(=O)C1=CC=C(F)C=C12,85.0
ASAP-0013423,CC1=CN=C(CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(F)=CC=C3C2=O)C=N1,137.0
ASAP-0013303,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)NC)C2=CC(F)=CC=C2C1=O,33.0
ASAP-0013302,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CS(=O)(=O)N(C)C)C2=CC(Cl)=CC=C2C1=O,194.0
ASAP-0013311,CN1N=NC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,29.0
ASAP-0013308,CN1C=NC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,26.0
ASAP-0013306,CN1C=CC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,82.0
ASAP-0013313,CN1N=NN=C1CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O,126.0
ASAP-0013310,CN1N=NC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,77.0
ASAP-0013309,CN1C=NC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,53.0
ASAP-0013307,CN1C=CC(CN2C[C@]3(CCN(C4=CN=CC5=CC=CC=C45)C3=O)C3=CC(Cl)=CC=C3C2=O)=N1,241.0
ASAP-0013305,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NNC=N1)C(=O)C1=CC=C(F)C=C12,2.0
ASAP-0013304,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CC(O)=NC=N1)C(=O)C1=CC=C(F)C=C12,2.0
ASAP-0013300,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=NC=N2)C2=CC(Cl)=CC=C2C1=O,44.0
ASAP-0013301,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CN=CC=N2)C2=CC(Cl)=CC=C2C1=O,66.0
ASAP-0013312,CN1N=NN=C1CN1C[C@]2(CCN(C3=CN=CC4=CC=CC=C34)C2=O)C2=CC(Cl)=CC=C2C1=O,57.0
ASAP-0013256,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=C1,52.0
ASAP-0013274,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=NC=CN1)C(=O)C1=CC=C(F)C=C12,90.0
ASAP-0013273,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CC=NN1)C(=O)C1=CC=C(F)C=C12,44.0
ASAP-0013249,C=CC(=O)N1CCCC2=C1C=CC=C2N(CC1=CC=CC(Cl)=C1)C(=O)CC1=CN=CC2=CC=CC=C12,1620.0
ASAP-0013265,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,378.0
ASAP-0013266,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CNC2=CN(C)N=C2)C2=CC(Cl)=CC=C2C1=O,66.0
ASAP-0013268,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=NNN=N2)C2=CC(Cl)=CC=C2C1=O,10.0
ASAP-0013272,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC1=CNC=N1)C(=O)C1=CC=C(F)C=C12,19.0
ASAP-0013255,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=C(C#N)N(C)N=C1)N2)C1=CC=C2OCC(=O)NC2=C1,115.0
ASAP-0012329,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,405.0
ASAP-0012327,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(C)N=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,169.0
ASAP-0012330,CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1,153.0
ASAP-0012325,CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1,109.0
ASAP-0012317,CCNC(=O)C1=CC2=C(N[C@H](C3=CC=C4OCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1,64.0
ASAP-0012320,CC(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN=CC(S(C)(=O)=O)=C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,635.0
ASAP-0012318,CC(C)[C@H](NC1=NC=NC2=C1C=CN2)C1=CC=C2OCCS(=O)(=O)C2=C1,18.0
ASAP-0012334,CC(C)[C@H](NC1=NC=NC2=C1C=C(C(=O)N[C@H]1CCN(C)C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,11.0
ASAP-0012332,CC(C)(C)[C@H](NC1=NC=NC2=C1C=C(C1=CN(CC(N)=O)N=C1)N2)C1=CC=C2OCCOC2=C1,100.0
ASAP-0012337,CNCCN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,4.0
ASAP-0012336,CC(C)[C@H](NC1=NC=NC2=C1C=C(C(=O)N[C@H]1CCN(C)C1)N2)C1=CC=C2CCCS(=O)(=O)C2=C1,26.0
ASAP-0012338,CNC(=O)C1=CC=CC(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)=C1,746.0
ASAP-0012340,CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1,67.0
ASAP-0012344,CNC(=O)C1=CC=CC(C2=CC3=C(N[C@H](C4=CC=C5CCCS(=O)(=O)C5=C4)C(C)C)N=CN=C3N2)=C1,455.0
ASAP-0012346,CNC(=O)C1=CC2=C(N[C@H](C3=CC=C4CCCS(=O)(=O)C4=C3)C(C)C)N=CN=C2N1,682.0
ASAP-0012339,CO[C@@H](C)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,87.0
ASAP-0012331,CO[C@@H](C)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,170.0
