Molecule name,SMILES,pIC50 (SARS-CoV-2 Mpro)
ASAP-0000169,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=CC(Cl)=C1,7.21
ASAP-0000170,CN(CCC1=CC=CC=C1)C(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,6.01
ASAP-0000171,O=C1C(C2=CC(Cl)=CC=C2)=CN=C(S)N1C1=CN=CC2=CC=CC=C12,6.86
ASAP-0000173,C=CC(=O)NC1=C(N(CC2=CC=CC(Cl)=C2)C(=O)CC2=CN=CC3=CC=CC=C23)C=CC=C1,5.16
ASAP-0000176,C=CC(=O)NC(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(Cl)=C(Cl)C=C1,5.5
ASAP-0000179,O=C1[C@@H]2CCCCN2C(=O)N1C1=CN=CC2=CC=CC=C12,4.19
ASAP-0000180,C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1,4.65
ASAP-0000181,C[C@H]1CC[C@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1,4.37
ASAP-0000182,C[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1,4.21
ASAP-0000184,O=C1N[C@]2(C[C@@H](C3=CC=C(Cl)C=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,7.04
ASAP-0000185,O=C1N[C@]2(C[C@@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,6.87
ASAP-0000186,CO[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,4.03
ASAP-0000187,O=C(O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,5.01
ASAP-0000204,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCC1=C(Cl)C=CC=C1Cl,6.75
ASAP-0000205,COC1=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=CC(OC)=C1,7.16
ASAP-0000206,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=C2SC=NC2=C1,6.93
ASAP-0000207,COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1OC,6.94
ASAP-0000208,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=CC=CC=C1,7.01
ASAP-0000209,CC1=CC=C2NC=C(CCNC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C2=C1,7.12
ASAP-0000210,CCOC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,6.9
ASAP-0000211,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)F)C=C1,7.3
ASAP-0000212,CCOC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,6.94
ASAP-0000213,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(C(F)(F)F)C=C1,7.15
ASAP-0000214,CN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2F)CC1,7.24
ASAP-0000215,CCC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,6.99
ASAP-0000216,CCOC1=CC=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=C1,7.05
ASAP-0000217,CC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,6.96
ASAP-0000218,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC(C1=CC=CC=C1)C1=CC=CC=C1,7.04
ASAP-0000219,CN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1,6.69
ASAP-0000220,COC1=CC=C(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,7.08
ASAP-0000221,CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2)CC1,7.55
ASAP-0000222,COC1=CC=CC(CNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)=C1,7.08
ASAP-0000223,COC1=CC=CC=C1CNC(=O)CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1,6.96
ASAP-0000224,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(Cl)C=C1Cl,6.97
ASAP-0000225,O=C(CN1CC2=CC=C(Cl)C=C2[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NCCC1=CC=C(Cl)C(Cl)=C1,7.15
ASAP-0000226,CCN1CCN(C2=CC=C(NC(=O)CN3CC4=CC=C(Cl)C=C4[C@H](C(=O)NC4=CN=CC5=CC=CC=C45)C3)C=C2F)CC1,7.43
ASAP-0000227,CC1=CC=C(CCNC(=O)CN2CC3=CC=C(Cl)C=C3[C@H](C(=O)NC3=CN=CC4=CC=CC=C34)C2)C=C1,7.12
ASAP-0000228,CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1,4.22
ASAP-0000229,CO[C@H]1CC[C@@H]2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)N2C1,4.43
ASAP-0000235,O=C1[C@@H]2CN(CC3=CC=CC=C3)CCN2C(=O)N1C1=CN=CC2=CC=CC=C12,5.54
ASAP-0000237,C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,4.12
ASAP-0000238,C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@@H]2C1,4.1
ASAP-0000240,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2C)C2=CC(Cl)=CC=C2C1=O,5.62
ASAP-0000241,O=C1N[C@]2(C[C@H](C3=CC=CC=C3)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,6.69
ASAP-0000271,C[C@H]1CC[C@]2(CO1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.19
ASAP-0000273,C[C@H]1CCN2C(=O)N(C3=CN=CC4=CC=CC=C34)C(=O)[C@H]2C1,4.12
ASAP-0000275,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)CC2(C)C)C2=C(C=CC(Cl)=C2)C1=O,5.18
ASAP-0000362,O=C(CN1CC2=C(C=C(Cl)C=C2)[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C1)NC1=NC=C(C(F)(F)F)C=C1,6.39
ASAP-0000370,CC(C)(C)[C@H](NC(=O)C(F)(F)F)C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)N[C@H](C#N)C[C@@H]1CCNC1=O)C2(C)C,8.68
ASAP-0000378,C[C@H]1OCCC[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.02
ASAP-0000431,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2COC)C2=CC(Cl)=CC=C2C1=O,5.73
ASAP-0000432,CCS(=O)(=O)N1CC2(C1)C(=O)N(C1=CN=CC3=CC=CC=C13)C(=O)N2C,4.76
ASAP-0000433,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC(F)=CC=C2C1=O,5.39
ASAP-0000434,CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(S(=O)(=O)C1CC1)C2,4.74
ASAP-0000435,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,5.81
ASAP-0000436,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,5.43
ASAP-0000437,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O,6.38
ASAP-0000438,O=C1C[C@H](CC2=CC=CC=C2)CN1C1=CN=CC2=CC=CC=C12,4.91
ASAP-0000439,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,5.2
ASAP-0000440,O=C1N[C@]2(CCOC3=CC=NC=C32)C(=O)N1C1=CN=CC2=CC=CC=C12,4.27
ASAP-0000441,NS(=O)(=O)C1=CC=C2OCC[C@]3(NC(=O)N(C4=CN=CC5=CC=CC=C45)C3=O)C2=C1,4.65
ASAP-0000442,C[C@H]1COC[C@@]2(C1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.24
ASAP-0000445,CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)C12CN(S(=O)(=O)C1=CC=CC=C1)C2,5.12
ASAP-0000446,CC1(C)CCN(S(C)(=O)=O)C[C@]12NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.47
ASAP-0000447,C[C@H]1COC[C@]2(C1)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,5.21
ASAP-0000483,NS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1,4.09
ASAP-0000484,C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(=O)O,5.49
ASAP-0000485,O=C1[C@H](C2=CC=C(Cl)C(Cl)=C2)C[C@H](O)CN1C1=CN=CC2=CC=CC=C12,5.47
ASAP-0000514,CNS(=O)(=O)OCC(=O)N1CCN(CC2=CC=CC(Cl)=C2)[C@H](CC(C)C)C1,5.78
ASAP-0000516,C[C@H](NC(=O)COS(N)(=O)=O)C1=CC(Cl)=CC(C2=CC=C(S(N)(=O)=O)C=C2)=C1,5.75
ASAP-0000517,CC(C)C[C@H]1CN(C(=O)COS(N)(=O)=O)CCN1CC1=CC=CC(Cl)=C1,5.17
ASAP-0000518,CC(C)C[C@H]1CN(C(=O)COS(=O)(=O)N(C)C)CCN1CC1=CC=CC(Cl)=C1,5.99
ASAP-0000519,C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(=O)NCC,5.77
ASAP-0000520,C=C(CN(C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1)C(N)=O,5.19
ASAP-0000521,C[C@H]1CC[C@]2(CN1S(C)(=O)=O)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.45
ASAP-0000522,O=C1N[C@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.5
ASAP-0000523,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CO)C2=CC(Cl)=CC=C2C1=O,6.47
ASAP-0000524,O=C1C[C@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.62
ASAP-0000525,O=C1N[C@H](CC2CC2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.31
ASAP-0000526,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2CC2=CC=CC=C2)C2=CC(Cl)=CC=C2C1=O,7.16
ASAP-0000527,O=C1N[C@@H](CC2=CC=CC=C2)C(=O)N1C1=CN=CC2=CC=CC=C12,4.4
ASAP-0000529,NC(=O)C1=CC=C2OCC[C@]3(NC(=O)N(C4=CN=CC5=CC=CC=C45)C3=O)C2=C1,4.85
ASAP-0000530,C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NC1=CC=C(Cl)C=C1,5.18
ASAP-0000531,CC(=O)N1C[C@@]2(CC[C@H]1C)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.36
ASAP-0000532,CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)[C@@H]1CC1=CC=CC=C1,4.06
ASAP-0000533,C[C@H]1CC[C@@]2(CN1S(C)(=O)=O)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.12
ASAP-0000534,CN1N=CC2=CN=CC(NC(=O)[C@H]3CNS(=O)(=O)C4=CC=C(Cl)C=C43)=C21,6.06
ASAP-0000535,CN1N=CC2=CN=CC(NC(=O)[C@H]3CNS(=O)(=O)C4=CC=C(Cl)C=C43)=C21,5.07
ASAP-0000536,CN1C(CC2=CC=CC=C2)=NN(C2=CN=CC3=CC=CC=C23)C1=O,5.04
ASAP-0000537,CNS(=O)(=O)OCC(=O)N[C@H](C)C1=CC(Cl)=CC(C2=CC=C(S(N)(=O)=O)C=C2)=C1,5.76
ASAP-0000538,C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)NCC1=CC=CC=C1,5.24
ASAP-0000539,CC(=O)N1C[C@]2(CC[C@H]1C)NC(=O)N(C1=CN=CC3=CC=CC=C13)C2=O,4.21
ASAP-0000542,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)CC23CC3)C2=CC(Cl)=CC=C2C1=O,6.1
ASAP-0000544,C=C(CN(C(=O)[C@H]1CCOC2=CC=C(Cl)C=C21)C1=CN=CC2=CC=CC=C12)C(=O)N(C)C1=CC=CC=C1,5.55
ASAP-0000572,CN1C=NC(CN2C(=O)N/C(=N\C3=CC4=CN(C)N=C4C=C3Cl)N(CC3=CC(F)=C(F)C=C3F)C2=O)=N1,8.43
ASAP-0000573,CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC(Cl)=C2)S1,5.25
ASAP-0000574,CN1C(=O)N(C2=CN=CC3=CC=CC=C23)C(=O)[C@H]1CC1=CC=CC=C1,4.06
ASAP-0000575,O=C1C[C@H](CC2=CC=CC=C2Cl)CN1C1=CN=CC2=CC=CC=C12,5.14
ASAP-0000576,COC1=CC=CC(CNC(=O)CN2C[C@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,4.59
ASAP-0000577,O=C1N[C@]2(C[C@@H](C3=C(F)C=CC=C3F)C2)C(=O)N1C1=CN=CC2=CC=CC=C12,7.06
ASAP-0000578,O=C1N[C@@]2(CC[C@H](C3=CC=CC=C3)OC2)C(=O)N1C1=CN=CC2=CC=CC=C12,5.2
ASAP-0000579,O=C1N[C@]2(CC[C@H](C3=CC=CC=C3)OC2)C(=O)N1C1=CN=CC2=CC=CC=C12,5.69
ASAP-0000580,COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC=CC=C3C2=O)=C1,6.31
ASAP-0000581,O=C1C[C@H](CC2=CC=CC=C2)NN1C1=CN=CC2=CC=CC=C12,5.16
ASAP-0000637,O=C(NCC1=CC=CC=N1)[C@H]1CN(C(=O)COS(=O)(=O)NC2=CC=CC=C2)CCN1S(=O)(=O)C1=CSC=C1,4.75
ASAP-0000638,CNS(=O)(=O)OCC(=O)N1CCN(S(=O)(=O)C2=CSC=C2)[C@H](C(=O)NCC2=CC=CC=N2)C1,4.79
ASAP-0000640,CC1=CN=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,4.99
ASAP-0000641,O=C(C[C@H]1CCCC(F)(F)C1)NC1=CN=CC2=CC=CC=C12,5.23
ASAP-0000644,COC1=CC=C(C)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,5.25
ASAP-0000646,CC1=CC(F)=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,5.79
ASAP-0000647,O=C1C[C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2=CC=CC=C2N1,4.65
ASAP-0000648,O=C(CC1=C(F)C=C(F)C(F)=C1)NC1=CN=CC2=CC=CC=C12,5.69
ASAP-0000650,CC1=CC=C(F)C(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1,5.29
ASAP-0000651,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=CC=NN1C)C(=O)C1=CC=CC=C12,5.82
ASAP-0000652,C[C@H]1CN(C2=CN=CC3=CC=CC=C23)C(=O)[C@@]12CN(CC(=O)NCC1=NN(C)C=C1)C(=O)C1=CC=CC=C12,5.59
ASAP-0000653,O=C(CC1=CC(F)=CN=C1)NC1=CN=CC2=CC=CC=C12,5.33
ASAP-0000654,COC1=CC=CC(CNC(=O)CN2C[C@@]3(C(=O)N(C4=CN=CC5=CC=CC=C45)C[C@@H]3C)C3=CC(Cl)=CC=C3C2=O)=C1,7.16
ASAP-0000655,CC1=CC=C(F)C=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,5.0
ASAP-0000656,O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC=C(F)C(F)=C1,5.16
ASAP-0000657,CC(F)(F)[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1,4.91
ASAP-0000658,O=C(NC1=CN=CC2=CC=CC=C12)C(F)(F)C1=CC(F)=CC(F)=C1,5.53
ASAP-0000710,O=C(CC1=CC(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,5.69
ASAP-0000711,O=C(CC1=C(F)C(F)=CC=C1)NC1=CN=CC2=CC=CC=C12,4.66
ASAP-0000712,O=C(CC1=CC=CC=C1F)NC1=CN=CC2=CC=CC=C12,4.44
ASAP-0000713,CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC=C1,5.03
ASAP-0000714,CC1=CC(F)=CC=C1C(F)(F)C(=O)NC1=CN=CC2=CC=CC=C12,4.56
ASAP-0000715,C[C@H]1COC2=CC=CC=C2[C@H]1C(=O)NC1=CN=CC2=CC=CC=C12,4.71
ASAP-0000716,CC1=CC=C(F)C=C1CC(=O)NC1=CN=CC2=CC=CC=C12,5.73
ASAP-0000717,O=C(CC1=CC(F)=CC=C1Cl)NC1=CN=CC2=CC=CC=C12,5.56
ASAP-0000718,CC1=CC2=C(C=C1C)[C@H](C(=O)NC1=CN=CC3=CC=CC=C13)CO2,5.34
ASAP-0000719,O=C(NC1=CN=CC2=CC=CC=C12)[C@H](CC(F)(F)F)C1=CC(F)=CC=C1,5.2
ASAP-0000720,C[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC=CC(Cl)=C1,5.94
ASAP-0000721,CC1=CC=CC(CC(=O)NC2=CN=CC3=CC=CC=C23)=C1F,4.2
ASAP-0000722,O=C(CC1=C(F)C(F)=CC=C1F)NC1=CN=CC2=CC=CC=C12,4.51
ASAP-0000723,O=C(CC1=CC=C(F)C(F)=C1F)NC1=CN=CC2=CC=CC=C12,4.8
ASAP-0000725,CC[C@H](C(=O)NC1=CN=CC2=CC=CC=C12)C1=CC(F)=C(F)C(F)=C1,6.11
ASAP-0000726,CC1=CC=C([C@H](C(=O)NC2=CN=CC3=CC=CC=C23)C2CC2)C=C1,4.73
ASAP-0000727,O=C(CC1=CC(F)=CC(F)=C1F)NC1=CN=CC2=CC=CC=C12,5.82
ASAP-0000728,O=C(NC1=CN=CC2=CC=CC=C12)[C@H]1COC2=CC=C(F)C=C21,5.46
ASAP-0000729,O=C(CC1=CC=C(F)C=C1F)NC1=CN=CC2=CC=CC=C12,4.6
ASAP-0000730,O=C(CC1=CC(Cl)=CC=C1F)NC1=CN=CC2=CC=CC=C12,5.97
ASAP-0000731,O=C(CC1=CC(F)=CC(F)=C1)NC1=CN=CC2=CC=CC=C12,6.19
ASAP-0000732,O=C1N[C@]2(CCOC3=CC=CC=C32)C(=O)N1C1=CN=CC2=CC=CC=C12,4.82
ASAP-0000734,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=C(F)C=C2C1=O,6.28
ASAP-0000735,O=C1N[C@]2(CCOC3=CC=C(CO)C=C32)C(=O)N1C1=CN=CC2=CC=CC=C12,4.87
ASAP-0000737,CNC(=O)CN1C[C@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@H]2CC2CC2)C2=CC(Cl)=CC=C2C1=O,5.27
ASAP-0000771,CCCCNC(=O)C1=CN=C([C@H](NC(=O)CCl)C2=CC=CC=C2)S1,4.72
ASAP-0000772,COC1=CC=C(CNC2=CN=C([C@H](NC(=O)CCl)C3=CC=CC=C3)S2)C(OC)=C1,4.33
ASAP-0000773,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC=C3C3CC3)C[C@@H]2C)C2=CC(Cl)=CC=C2C1=O,6.33
ASAP-0000794,CN1N=CC(C2CCC2)=C1CNC(=O)C1=CN=CC2=CC=CC=C12,4.25
ASAP-0000795,O=C(NCCC1=CNC2=NC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,4.42
ASAP-0000798,CC(C)(NC(=O)C1=CN=CC2=CC=CC=C12)C1=CC=CC(C#N)=C1,4.23
ASAP-0000799,C[C@H](NC(=O)C1=CN=CC2=CC=CC=C12)C1=NC2=CC=CC=C2N1C,4.06
ASAP-0000801,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CC=CC(F)=C2C1=O,5.89
ASAP-0000805,O=C(NCCC(=O)N1CCCCC1)C1=CN=CC2=CC=CC=C12,4.09
ASAP-0000807,CNC(=O)CN1C[C@@]2(C(=O)N(C3=CN=CC4=CC=CC=C34)C[C@@H]2C)C2=CN=CC=C2C1=O,5.59
ASAP-0000808,O=C(NCC1=CNC2=CC=C(F)C=C12)C1=CN=CC2=CC=CC=C12,4.72
ASAP-0000809,CC1=CC=CC2=C1C=C(CNC(=O)C1=CN=CC3=CC=CC=C13)N2,4.87
ASAP-0000810,CN1C2=CC=CC=C2N(CCNC(=O)C2=CN=CC3=CC=CC=C23)S1(=O)=O,4.15
ASAP-0000811,O=C(NCC1=CC2=C(CCCC2)N=C1O)C1=CN=CC2=CC=CC=C12,4.46
ASAP-0000819,O=C(NCC1=NC2=CC(Cl)=CC=C2S1)C1=CN=CC2=CC=CC=C12,4.04
ASAP-0000821,O=C(NCCC1=CNC2=CC=C(Cl)C=C12)C1=CN=CC2=CC=CC=C12,4.91
ASAP-0000824,CN1C(CNC(=O)C2=CN=CC3=CC=CC=C23)=NC2=CC=CC=C21,4.07
ASAP-0000832,COC1=CC=C2NC=C(CCNC(=O)C3=CN=CC4=CC=CC=C34)C2=C1,4.24
